Том,№,Субъект,,,Карта 27,Карта 28,Карта 29,Карта 30,Карта 31,Карта 32,Карта 33,Карта 34,Карта 35,Карта 36,Карта 37,Карта 38,Карта 39,Карта 40,Карта 41,Карта 42,Карта 43,Карта 44,Карта 45,Карта 46,Карта 47,Карта 48,Карта 49,Карта 50,Карта 51,Карта 52,Карта 53,Карта 54,Карта 55,Карта 56,Карта 57,Карта 58,Карта 59,Карта 60,Карта 61,Карта 62,Карта 63,Карта 64,Карта 65,Карта 66,Карта 67,Карта 68
1,109,16,с,Штырь,2,1,1,1,1,3,2,1,1,11,1,1,1,1,4,1,1,8,1,1,1,1,1,1,1,1,8,7,1,8,2,3,1,7,1,1,6,8,3,1,1,1
2,109,16,д,Псеево,2,1,1,1,1,1,2,3,1,11,3,1,1,1,1,1,2,7,1,1,1,2,1,1,1,1,7,1,1,8,2,2,1,8,1,3,2,3,1,1,1,1
2,114,16,с,Бизяки,2,1,1,1,1,1,2,3,1,11,3,1,1,1,1,1,2,7,1,1,1,2,1,1,1,1,1,8,1,8,2,2,1,6,1,1,2,1,1,1,1,1
2,113,16,с,Старое Гришкино,2,1,1,1,1,1,2,2,1,11,3,1,1,1,1,1,1,7,1,1,1,1,1,1,1,3,8,8,1,1,2,2,1,8,1,1,2,2,2,1,1,1
2,112,16,д,Абалачи,2,1,1,2,1,1,2,3,1,11,3,1,1,1,1,1,2,7,1,1,1,1,1,1,1,1,8,8,1,8,2,2,1,7,1,3,2,8,1,1,1,1
2,118,16,с,Морты,2,1,1,1,1,1,2,3,1,11,3,1,1,1,1,1,2,7,1,1,1,2,1,1,1,1,7,1,1,8,2,2,1,6,1,1,2,3,1,1,1,1
2,117,16,с,Большой Шурняк,2,1,1,2,1,1,2,2,1,11,3,1,1,1,1,1,1,7,1,1,1,1,1,1,1,2,7,8,1,8,2,2,1,7,1,1,2,2,2,1,1,1
1,147,16,с,Мокрые Курнали,2,1,1,1,1,1,3,1,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,8,6,1,1,1,1,1,1,1,1,1,2
1,111,16,с,Альвидино,2,5,1,2,1,3,2,2,1,2,1,3,3,8,2,1,1,8,1,1,1,1,1,1,1,1,1,7,1,8,7,6,1,8,1,1,2,2,2,1,1,1
1,114,16,с,Большой Салтан,2,1,1,1,1,1,2,1,1,11,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,8,7,1,8,7,3,1,7,1,1,2,1,8,1,1,1
1,118,16,с,Большой Ошняк,2,1,1,1,1,1,2,1,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,8,1,1,7,3,1,7,1,1,6,1,8,1,1,1
1,117,16,с,Татарский Янтык,2,1,1,8,1,1,2,1,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,8,1,1,7,3,1,7,1,1,6,1,8,1,1,1
